,Unidad,noIdentificacion,Descripción,Valor Unitario
,pz,COB170          ,"CODO DE COBRE R/ EXTERIOR 3/4""          ",0
,pz,COB171          ,"CODO DE COBRE R/EXTERIOR 1""             ",0
,pz,COB172          ,"CODO DE COBRE R/ EXTERIOR 11/4""         ",0
,pz,COB173          ,"CODO DE COBRE R/ EXTERIOR 11/2""         ",0
,pz,COB174          ,"CODO DE COBRE R/ EXTERIOR 2""            ",0
,pz,COB175          ,"CODO PIPA DE COBRE 3/8""                 ",0
,pz,COB176          ,"CODO PIPA DE COBRE 1/2""                 ",0
,pz,COB177          ,"CODO PIPA DE COBRE 3/4""                 ",0
,pz,COB178          ,"CODO PIPA DE COBRE 1""                   ",0
,pz,COB179          ,"CODO PIPA DE COBRE 11/4""                ",0
,pz,COB18           ,"TUBO DE COBRE DE 11/2"" TIPO M X MT      ",0
,pz,COB180          ,"CODO PIPA DE COBRE 11/2""                ",0
,pz,COB181          ,"CODO PIPA DE COBRE 2""                   ",0
,pz,COB182          ,CODO COBRE RED. INT.1/2 A3/8            ,0
,pz,COB183          ,CODO COBRE RED. INT.1/2 A 3/4           ,0
,pz,COB184          ,"TEE DE COBRE DE 3/8""                    ",0
,pz,COB185          ,"TEE DE COBRE DE 1/2""                    ",0
,pz,COB186          ,"TEE DE COBRE DE  3/4""                   ",0
,pz,COB187          ,"TEE DE COBRE DE  1""                     ",0
,pz,COB188          ,"TEE DE COBRE DE  11/4""                  ",0
,pz,COB189          ,"TEE DE COBRE DE  11/2""                  ",0
,pz,COB19           ,"TUBO DE COBRE DE 2"" TIPO M X MT         ",0
,pz,COB190          ,"TEE DE COBRE DE  2""                     ",0
,pz,COB191          ,"TEE DE COBRE DE  21/2""                  ",0
,pz,COB192          ,"TEE DE COBRE DE  3""                     ",0
,pz,COB193          ,"TEE DE COBRE DE  4""                     ",0
,pz,COB194          ,TEE DE COBRE DE RED. 1/2-1/2-3/8        ,0
,pz,COB195          ,TEE DE COBRE DE RED. 1/2-1/2-3/4        ,0
,pz,COB196          ,"TEE DE COBRE DE RED. 3/4-1/2-1/2""       ",0
,pz,COB197          ,"TEE DE COBRE DE RED. 3/4-3/4-1/2""       ",0
,pz,COB198          ,"TEE DE COBRE DE RED. 3/4-3/4-1""         ",0
,pz,COB199          ,"TEE DE COBRE DE RED. 1""-1/2""-1/2""       ",0
,pz,COB20           ,"TUBO DE COBRE DE 2 1/2"" TIPO M X MT     ",0
,pz,COB200          ,"TEE DE COBRE DE RED. 1""-1/2""-3/4""       ",0
,pz,COB201          ,"TEE DE COBRE DE RED. 1""-3/4-1/2""        ",0
,pz,COB202          ,"TEE DE COBRE DE RED. 1""-3/4-3/4         ",0
,pz,COB203          ,"TEE DE COBRE DE RED. 1""-3/4""-1""         ",0
,pz,COB204          ,"TEE DE COBRE DE RED. 1""-1""-3/4""         ",0
,pz,COB205          ,"TEE DE COBRE DE RED. 1""-1""-1/2""         ",0
,pz,COB206          ,"TEE DE COBRE DE RED. 11/4-11/4-1""       ",0
,pz,COB207          ,"TEE DE COBRE R/CENTRO 3/8""              ",0
,pz,COB208          ,"TEE DE COBRE R/ CENTRO 1/2""             ",0
,pz,COB209          ,"TEE DE COBRE R/ CENTRO 3/4""             ",0
,pz,COB21           ,"TUBO DE COBRE DE 3"" TIPO M X MT         ",0
,pz,COB210          ,"TEE DE COBRE R/CENTRO 1""                ",0
,pz,COB211          ,"TEE DE COBRE R/CENTRO 11/4""             ",0
,pz,COB212          ,"TEE DE COBRE R/CENTRO 11/2""             ",0
,pz,COB213          ,"TEE DE COBRE R/CENTRO 2""                ",0
,pz,COB214          ,"TEE DE COBRE R/LATERAL 3/8""             ",0
,pz,COB215          ,"TEE DE COBRE R/LATERAL 1/2""             ",0
,pz,COB216          ,"TEE DE COBRE R/ LATERAL 3/4""            ",0
,pz,COB217          ,"TEE DE COBRE R/LATERAL 1""               ",0
,pz,COB218          ,"TEE DE COBRE R/LATERAL 11/4""            ",0
,pz,COB219          ,"TEE DE COBRE R/ LATERAL 11/2""           ",0
,pz,COB22           ,"TUBO DE COBRE DE 4"" TIPO M X MT         ",0
,pz,COB220          ,"TEE DE COBRE R/LATERAL 2""               ",0
,pz,COB221          ,TUERCA UNION DE COBRE R/ INT. 1/2       ,0
,pz,COB222          ,TUERCA UNION DE COBRE R/ INT. 3/4       ,0
,pz,COB223          ,"TUERCA UNION DE COBRE R/ INT. 1""        ",0
,pz,COB224          ,"TUERCA UNION DE COBRE R/INT. 11/4""      ",0
,pz,COB225          ,"TUERCA UNION DE COBRE R/ INT. 11/2""     ",0
,pz,COB226          ,"TUERCA UNION DE COBRE R/ INT. 2""        ",0
,pz,COB227          ,"TUERCA UNION DE COBRE 1/2""              ",0
,pz,COB228          ,"TUERCA UNION DE COBRE 3/4""              ",0
,pz,COB229          ,"TUERCA UNION DE COBRE 1""                ",0
,pz,COB23           ,"TUBO DE COBRE DE 1/4"" TIPO L TRAMO 6.10 ",0
,pz,COB230          ,"TUERCA UNION DE COBRE DE 1 1/4""         ",0
,pz,COB231          ,"TUERCA UNION DE COBRE DE 1 1/2""         ",0
,pz,COB232          ,"TUERCA UNION  DE COBRE DE 2""            ",0
,pz,COB233          ,"TAPON MACHO DE COBRE 3/8""  CAT.116      ",0
,pz,COB234          ,"TAPON MACHO DE COBRE 1/2"" CAT.116       ",0
,pz,COB235          ,"TAPON MACHO DE COBRE 3/4"" CAT.116       ",0
,pz,COB236          ,"TAPON MACHO DE COBRE 1"" CAT.116         ",0
,pz,COB237          ,"TAPON HEMBRA DE COBRE 3/8""              ",0
,pz,COB238          ,TAPON HEMBRA DE COBRE 1/2               ,0
,pz,COB239          ,TAPON HEMBRA DE COBRE 3/4               ,0
,pz,COB24           ,"TUBO DE COBRE DE 3/8"" TIPO L TRAMO 6.10 ",0
,pz,COB240          ,"TAPON HEMBRA DE COBRE 1""                ",0
,pz,COB241          ,"TAPON HEMBRA DE COBRE 11/4""             ",0
,pz,COB242          ,"TAPON HEMBRA DE COBRE 11/2""             ",0
,pz,COB243          ,"TAPON HEMBRA DE COBRE 2""                ",0
,pz,COB244          ,"CRUZ DE COBRE 1/2""                      ",0
,pz,COB245          ,"CRUZ DE COBRE 3/4""                      ",0
,pz,COB246          ,"CRUZ DE COBRE 1""                        ",0
,pz,COB247          ,"CRUZ DE COBRE 1 1/4""                    ",0
,pz,COB248          ,"CRUZ DE COBRE 1 1/2""                    ",0
,pz,COB249          ,"CRUZ DE COBRE 2""                        ",0
